scenario_k,calibration_record_count_n,same_window_anchor_hs,prior_anchor_hs,imputed_amount_hs,o5_t4_hs,expected_edge_mass,o5_t5_missing_edge_increment_hs,o5_t5_hs,o56_hs,o6_effective_population,o6w_t5a_hs,scenario_status
5,3,300000,400000,362500,6295833.333333,97.39988241104,35307457.374002,41603290.707335,3677083.333333,17.374713207607,1436684112,selected_base
6,3,300000,400000,366666.666667,6348333.333333,97.39988241104,35713290.217381,42061623.550715,3700000,17.374713207607,1452511695,diagnostic_not_selected
7,3,300000,400000,370000,6390333.333333,97.39988241104,36037956.492085,42428289.825418,3718333.333333,17.374713207607,1465173761,diagnostic_not_selected
8,3,300000,400000,372727.272727,6424696.969697,97.39988241104,36303592.535024,42728289.504721,3733333.333333,17.374713207607,1475533633,diagnostic_not_selected
9,3,300000,400000,375000,6453333.333333,97.39988241104,36524955.90414,42978289.237473,3745833.333333,17.374713207607,1484166860,diagnostic_not_selected
10,3,300000,400000,376923.076923,6477564.102564,97.39988241104,36712263.370315,43189827.472879,3756410.25641,17.374713207607,1491471898,diagnostic_not_selected
11,3,300000,400000,378571.428571,6498333.333333,97.39988241104,36872812.627037,43371145.96037,3765476.190476,17.374713207607,1497733359,diagnostic_not_selected
12,3,300000,400000,380000,6516333.333333,97.39988241104,37011955.316195,43528288.649529,3773333.333333,17.374713207607,1503159959,diagnostic_not_selected
13,3,300000,400000,381250,6532083.333333,97.39988241104,37133705.169209,43665788.502542,3780208.333333,17.374713207607,1507908234,diagnostic_not_selected
14,3,300000,400000,382352.941176,6545980.392157,97.39988241104,37241131.510104,43787111.90226,3786274.509804,17.374713207607,1512097888,diagnostic_not_selected
15,3,300000,400000,383333.333333,6558333.333333,97.39988241104,37336621.590899,43894954.924232,3791666.666667,17.374713207607,1515822025,diagnostic_not_selected
16,3,300000,400000,384210.526316,6569385.964912,97.39988241104,37422060.084242,43991446.049154,3796491.22807,17.374713207607,1519154147,diagnostic_not_selected
17,3,300000,400000,385000,6579333.333333,97.39988241104,37498954.72825,44078288.061584,3800833.333333,17.374713207607,1522153058,diagnostic_not_selected
18,3,300000,400000,385714.285714,6588333.333333,97.39988241104,37568526.07283,44156859.406163,3804761.904762,17.374713207607,1524866358,diagnostic_not_selected
19,3,300000,400000,386363.636364,6596515.151515,97.39988241104,37631772.74972,44228287.901235,3808333.333333,17.374713207607,1527332994,diagnostic_not_selected
20,3,300000,400000,386956.521739,6603985.507246,97.39988241104,37689519.715576,44293505.222823,3811594.202899,17.374713207607,1529585140,diagnostic_not_selected
21,3,300000,400000,387500,6610833.333333,97.39988241104,37742454.434278,44353287.767611,3814583.333333,17.374713207607,1531649607,diagnostic_not_selected
22,3,300000,400000,388000,6617133.333333,97.39988241104,37791154.375484,44408287.708817,3817333.333333,17.374713207607,1533548917,diagnostic_not_selected
23,3,300000,400000,388461.538462,6622948.717949,97.39988241104,37836108.167366,44459056.885314,3819871.794872,17.374713207607,1535302126,diagnostic_not_selected
24,3,300000,400000,388888.888889,6628333.333333,97.39988241104,37877732.048738,44506065.382071,3822222.222222,17.374713207607,1536925468,diagnostic_not_selected
25,3,300000,400000,389285.714286,6633333.333333,97.39988241104,37916382.795726,44549716.12906,3824404.761905,17.374713207607,1538432857,diagnostic_not_selected
26,3,300000,400000,389655.172414,6637988.505747,97.39988241104,37952367.973957,44590356.479704,3826436.781609,17.374713207607,1539836288,diagnostic_not_selected
27,3,300000,400000,390000,6642333.333333,97.39988241104,37985954.140306,44628287.473639,3828333.333333,17.374713207607,1541146157,diagnostic_not_selected
28,3,300000,400000,390322.580645,6646397.849462,97.39988241104,38017373.457212,44663771.306675,3830107.526882,17.374713207607,1542371518,diagnostic_not_selected
29,3,300000,400000,390625,6650208.333333,97.39988241104,38046829.066813,44697037.400146,3831770.833333,17.374713207607,1543520294,diagnostic_not_selected
30,3,300000,400000,390909.090909,6653787.878788,97.39988241104,38074499.487952,44728287.36674,3833333.333333,17.374713207607,1544599447,diagnostic_not_selected
31,3,300000,400000,391176.470588,6657156.862745,97.39988241104,38100542.23726,44757699.100005,3834803.921569,17.374713207607,1545615121,diagnostic_not_selected
32,3,300000,400000,391428.571429,6660333.333333,97.39988241104,38125096.829464,44785430.162798,3836190.476191,17.374713207607,1546572756,diagnostic_not_selected
33,3,300000,400000,391666.666667,6663333.333333,97.39988241104,38148287.277657,44811620.610991,3837500,17.374713207607,1547477190,diagnostic_not_selected
34,3,300000,400000,391891.891892,6666171.171171,97.39988241104,38170224.18811,44836395.359282,3838738.738739,17.374713207607,1548332735,diagnostic_not_selected
35,3,300000,400000,392105.263158,6668859.649123,97.39988241104,38191006.524329,44859866.173452,3839912.280702,17.374713207607,1549143251,diagnostic_not_selected
36,3,300000,400000,392307.692308,6671410.25641,97.39988241104,38210723.099716,44882133.356126,3841025.641026,17.374713207607,1549912202,diagnostic_not_selected
37,3,300000,400000,392500,6673833.333333,97.39988241104,38229453.846333,44903287.179667,3842083.333333,17.374713207607,1550642706,diagnostic_not_selected
38,3,300000,400000,392682.926829,6676138.211382,97.39988241104,38247270.897994,44923409.109376,3843089.430894,17.374713207607,1551337576,diagnostic_not_selected
39,3,300000,400000,392857.142857,6678333.333333,97.39988241104,38264239.518623,44942572.851956,3844047.619048,17.374713207607,1551999356,diagnostic_not_selected
40,3,300000,400000,393023.255814,6680426.356589,97.39988241104,38280418.901083,44960845.257672,3844961.24031,17.374713207607,1552630356,diagnostic_not_selected
41,3,300000,400000,393181.818182,6682424.242424,97.39988241104,38295862.857068,44978287.099492,3845833.333333,17.374713207607,1553232674,diagnostic_not_selected
42,3,300000,400000,393333.333333,6684333.333333,97.39988241104,38310620.415009,44994953.748342,3846666.666667,17.374713207607,1553808223,diagnostic_not_selected
43,3,300000,400000,393478.26087,6686159.42029,97.39988241104,38324736.339996,45010895.760286,3847463.768116,17.374713207607,1554358747,diagnostic_not_selected
44,3,300000,400000,393617.021277,6687907.801419,97.39988241104,38338251.587324,45026159.388743,3848226.950355,17.374713207607,1554885845,diagnostic_not_selected
45,3,300000,400000,393750,6689583.333333,97.39988241104,38351203.699347,45040787.03268,3848958.333333,17.374713207607,1555390981,diagnostic_not_selected
46,3,300000,400000,393877.55102,6691190.476191,97.39988241104,38363627.153736,45054817.629927,3849659.863946,17.374713207607,1555875499,diagnostic_not_selected
47,3,300000,400000,394000,6692733.333333,97.39988241104,38375553.66995,45068287.003283,3850333.333333,17.374713207607,1556340636,diagnostic_not_selected
48,3,300000,400000,394117.647059,6694215.686275,97.39988241104,38387012.479645,45081228.16592,3850980.392157,17.374713207607,1556787532,diagnostic_not_selected
49,3,300000,400000,394230.769231,6695641.025641,97.39988241104,38398030.565891,45093671.591532,3851602.564103,17.374713207607,1557217240,diagnostic_not_selected
50,3,300000,400000,394339.622642,6697012.578616,97.39988241104,38408632.875297,45105645.453913,3852201.257862,17.374713207607,1557630733,diagnostic_not_selected
